full_name,team_id,espn_abbr
Arizona Diamondbacks,ARI,ARI
Athletics,ATH,OAK
Atlanta Braves,ATL,ATL
Baltimore Orioles,BAL,BAL
Boston Red Sox,BOS,BOS
Chicago Cubs,CHC,CHC
Chicago White Sox,CHW,CHW
Cincinnati Reds,CIN,CIN
Cleveland Guardians,CLE,CLE
Colorado Rockies,COL,COL
Detroit Tigers,DET,DET
Houston Astros,HOU,HOU
Kansas City Royals,KCR,KC
Los Angeles Angels,LAA,LAA
Los Angeles Dodgers,LAD,LAD
Miami Marlins,MIA,MIA
Milwaukee Brewers,MIL,MIL
Minnesota Twins,MIN,MIN
New York Mets,NYM,NYM
New York Yankees,NYY,NYY
Philadelphia Phillies,PHI,PHI
Pittsburgh Pirates,PIT,PIT
San Diego Padres,SDP,SD
San Francisco Giants,SFG,SF
Seattle Mariners,SEA,SEA
St. Louis Cardinals,STL,STL
Tampa Bay Rays,TBR,TB
Texas Rangers,TEX,TEX
Toronto Blue Jays,TOR,TOR
Washington Nationals,WSN,WSH
